NAME OF COMPANY,SYMBOL,Security Id
Ashima Limited,ASHIMASYN,ASHIMASYN
Ashoka Buildcon Limited,ASHOKA,ASHOKA
Ashok Leyland Limited,ASHOKLEY,ASHOKLEY
Asian Hotels (North) Limited,ASIANHOTNR,ASIANHOTNR
Asian Paints Limited,ASIANPAINT,ASIANPAINT
Asian Granito India Limited,ASIANTILES,ASIANTILES
Astec LifeSciences Limited,ASTEC,ASTEC
Aster DM Healthcare Limited,ASTERDM,ASTERDM
Astral Limited,ASTRAL,ASTRAL
Astra Microwave Products Limited,ASTRAMICRO,ASTRAMICRO
AstraZeneca Pharma India Limited,ASTRAZEN,ASTRAZEN
Astron Paper & Board Mill Limited,ASTRON,ASTRON
Agro Tech Foods Limited,ATFL,ATFL
Adani Total Gas Limited,ATGL,ATGL
Atlanta  Limited,ATLANTA,ATLANTA
Atul Limited,ATUL,ATUL
Atul Auto Limited,ATULAUTO,ATULAUTO
AU Small Finance Bank Limited,AUBANK,AUBANK
Aurionpro Solutions Limited,AURIONPRO,AURIONPRO
Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA
Ausom Enterprise Limited,AUSOMENT,AUSOMENT
Automotive Axles Limited,AUTOAXLES,AUTOAXLES
Autoline Industries Limited,AUTOIND,AUTOIND
Avadh Sugar & Energy Limited,AVADHSUGAR,AVADHSUGAR
Avanti Feeds Limited,AVANTIFEED,AVANTI
AVT Natural Products Limited,AVTNPL,AVTNPL
Antony Waste Handling Cell Limited,AWHCL,AWHCL
Axis Bank Limited,AXISBANK,AXISBANK
AXISCADES Technologies Limited,AXISCADES,AXISCADES
AYM Syntex Limited,AYMSYNTEX,AYMSYNTEX
Bafna Pharmaceuticals Limited,BAFNAPH,BAFNAPHARM
B.A.G Films and Media Limited,BAGFILMS,BAGFILMS
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO
Bajaj Consumer Care Limited,BAJAJCON,BAJAJCON
Bajaj Electricals Limited,BAJAJELEC,BAJAJELEC
Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV
Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE
Balaji Telefilms Limited,BALAJITELE,BALAJITELE
Balaji Amines Limited,BALAMINES,BALAMINES
Balkrishna Paper Mills Limited,BALKRISHNA,BALKRISHNA
Balkrishna Industries Limited,BALKRISIND,BALKRISIND
Ballarpur Industries Limited,BALLARPUR,BALLARPUR
Balmer Lawrie & Company Limited,BALMLAWRIE,BALMLAWRIE
Bal Pharma Limited,BALPHARMA,BALPHARMA
Balrampur Chini Mills Limited,BALRAMCHIN,BALRAMCHIN
Banaras Beads Limited,BANARBEADS,BANARBEADS
Bannari Amman Sugars Limited,BANARISUG,BANARISUG
Banco Products (I) Limited,BANCOINDIA,BANCOINDIA
Bandhan Bank Limited,BANDHANBNK,BANDHANBNK
Bang Overseas Limited,BANG,BANG
Bank of Baroda,BANKBARODA,BANKBARODA
Bank of India,BANKINDIA,BANKINDIA
Banswara Syntex Limited,BANSWRAS,BANSWRAS
Barbeque Nation Hospitality Limited,BARBEQUE,BARBEQUE
Bartronics India Limited,BARTRONICS,BARTRONICS
BASF India Limited,BASF,BASF
Bannari Amman Spinning Mills Limited,BASML,BASML
Bata India Limited,BATAINDIA,BATAINDIA
Bayer Cropscience Limited,BAYERCROP,BAYERCROP
Bharat Bijlee Limited,BBL,BBL
Bombay Burmah Trading Corporation Limited,BBTC,BBTC
Brightcom Group Limited,BCG,BCG
Bcl Industries Limited,BCLIND,BCLIL
B.C. Power Controls Ltd,BCP,BCP
Bharat Dynamics Limited,BDL,BDL
Beardsell Limited,BEARDSELL,BEARDSELL
Mrs. Bectors Food Specialities Limited,BECTORFOOD,BECTORFOOD
Bedmutha Industries Limited,BEDMUTHA,BEDMUTHA
Bharat Electronics Limited,BEL,BEL
BEML Limited,BEML,BEML
Bhansali Engineering Polymers Limited,BEPL,BEPL
Berger Paints (I) Limited,BERGEPAINT,BERGEPAINT
Best Agrolife Limited,BESTAGRO,BESTAGRO
BF Investment Limited,BFINVEST,BFINVEST
BF Utilities Limited,BFUTILITIE,BFUTILITIE
BGR Energy Systems Limited,BGRENERGY,BGRENERGY
Bhageria Industries Limited,BHAGERIA,BHAGIL
Bhagyanagar India Limited,BHAGYANGR,BHAGYNAGAR
Bhagyanagar Properties Limited,BHAGYAPROP,BHAGYAPROP
Bhandari Hosiery Exports Limited,BHANDARI,BHANDHOS
Bharat Forge Limited,BHARATFORG,BHARATFORG
Bharat Gears Limited,BHARATGEAR,BHARATGEAR
Bharat Rasayan Limited,BHARATRAS,BHARATRAS
Bharat Wire Ropes Limited,BHARATWIRE,BHARATWIRE
Bharti Airtel Limited,BHARTIARTL,BHARTIARTL
Bharat Heavy Electricals Limited,BHEL,BHEL
Bigbloc Construction Limited,BIGBLOC,BIGBLOC
Bhartiya International Limited,BIL,BIL
Oswal Chemicals & Fertilizers Limited,BINDALAGRO,BINDALAGRO
Biocon Limited,BIOCON,BIOCON
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,BIOFILCHEM
Birla Cable Limited,BIRLACABLE,BIRLACABLE
Birla Corporation Limited,BIRLACORPN,BIRLACORPN
Aditya Birla Money Limited,BIRLAMONEY,BIRLAMONEY
Birla Tyres Limited,BIRLATYRE,BIRLATYRES
Bkm Industries Limited,BKMINDST,BKMINDST
BLB Limited,BLBLIMITED,BLBLIMITED
Bliss GVS Pharma Limited,BLISSGVS,BLISSGVS
B. L. Kashyap and Sons Limited,BLKASHYAP,BLKASHYAP
BLS International Services Limited,BLS,BLS
Blue Dart Express Limited,BLUEDART,BLUEDART
Blue Star Limited,BLUESTARCO,BLUESTARCO
Bodal Chemicals Limited,BODALCHEM,BODALCHEM
Bombay Dyeing & Mfg Company Limited,BOMDYEING,BOMDYEING
Borosil Limited,BOROLTD,BOROLTD
BOROSIL RENEWABLES LIMITED,BORORENEW,BORORENEW
Bosch Limited,BOSCHLTD,BOSCHLTD
Bharat Petroleum Corporation Limited,BPCL,BPCL
BPL Limited,BPL,BPL
Bombay Rayon Fashions Limited,BRFL,BRFL
Brigade Enterprises Limited,BRIGADE,BRIGADE
Britannia Industries Limited,BRITANNIA,BRITANNIA
Bharat Road Network Limited,BRNL,BRNL
Brooks Laboratories Limited,BROOKS,BROOKS
BSEL Infrastructure Realty Limited,BSELINFRA,BSELINFRA
BSL Limited,BSL,BSL
BIRLASOFT LIMITED,BSOFT,BSOFT
Burger King India Limited,BURGERKING,BURGERKING
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,BUTTERFLY
Barak Valley Cements Limited,BVCL,BVCL
The Byke Hospitality Ltd,BYKE,THEBYKE
Cadila Healthcare Limited,CADILAHC,CADILAHC
California Software Company Limited,CALSOFT,CALSOFT
Camlin Fine Sciences Limited,CAMLINFINE,CAMLINFINE
Computer Age Management Services Limited,CAMS,CAMS
Canara Bank,CANBK,CANBK
C & C Constructions Limited,CANDC,CANDC
Can Fin Homes Limited,CANFINHOME,CANFINHOME
Cantabil Retail India Limited,CANTABIL,CANTABIL
Capacit'e Infraprojects Limited,CAPACITE,CAPACITE
Caplin Point Laboratories Limited,CAPLIPOINT,CAPPL
Capital Trust Limited,CAPTRUST,CAPITALT
Carborundum Universal Limited,CARBORUNIV,CARBORUNIV
Career Point Limited,CAREERP,CAREERP
CARE Ratings Limited,CARERATING,CARERATING
Castrol India Limited,CASTROLIND,CASTROLIND
Consolidated Construction Consortium Limited,CCCL,CCCL
Country Club Hospitality & Holidays Limited,CCHHL,CCHHL
CCL Products (India) Limited,CCL,CCL
CEAT Limited,CEATLTD,CEATLTD
Commercial Engineers & Body Builders Co Limited,CEBBCO,CEBBCO
Celebrity Fashions Limited,CELEBRITY,CELEBRITY
Century Enka Limited,CENTENKA,CENTENKA
Century Extrusions Limited,CENTEXT,CENTEXT
Central Bank of India,CENTRALBK,CENTRALBK
Centrum Capital Limited,CENTRUM,CENTRUM
Centum Electronics Limited,CENTUM,CENTUM
Century Plyboards (India) Limited,CENTURYPLY,CENTURYPLY
Century Textiles & Industries Limited,CENTURYTEX,CENTURYTEX
Cera Sanitaryware Limited,CERA,CERA
Cerebra Integrated Technologies Limited,CEREBRAINT,CEREBRAINT
CESC Limited,CESC,CESC
Capri Global Capital Limited,CGCL,CGCL
CG Power and Industrial Solutions Limited,CGPOWER,CGPOWER
Chalet Hotels Limited,CHALET,CHALET
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,CHAMBLFERT
Chembond Chemicals Ltd,CHEMBOND,CHEMBOND
Chemcon Speciality Chemicals Limited,CHEMCON,CHEMCON
Chemfab Alkalis Limited,CHEMFAB,CHEMFABALKA
Chennai Petroleum Corporation Limited,CHENNPETRO,CHENNPETRO
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,CHOLAFIN
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,CHOLAHLDNG
Cigniti Technologies Limited,CIGNITITEC,CIGNITI
Cineline India Limited,CINELINE,CINELINE
Cinevista Limited,CINEVISTA,CINEVISTA
Cipla Limited,CIPLA,CIPLA
CL Educate Limited,CLEDUCATE,CLEDUCATE
Clariant Chemicals (India) Limited,CLNINDIA,CLNINDIA
Chaman Lal Setia Exports Limited,CLSEL,CHAMANSEQ
CMI Limited,CMICABLES,CMI
Coal India Limited,COALINDIA,COALINDIA
Cochin Shipyard Limited,COCHINSHIP,COCHINSHIP
Coffee Day Enterprises Limited,COFFEEDAY,COFFEEDAY
Coforge Limited,COFORGE,COFORGE
Colgate Palmolive (India) Limited,COLPAL,COLPAL
Compuage Infocom Limited,COMPINFO,COMPUAGE
Compucom Software Limited,COMPUSOFT,COMPUSOFT
Container Corporation of India Limited,CONCOR,CONCOR
Confidence Petroleum India Limited,CONFIPET,CONFIPET
Control Print Limited,CONTROLPR,CONTROLPR
Coral India Finance & Housing Limited,CORALFINAC,CORALFINAC
Cords Cable Industries Limited,CORDSCABLE,CORDSCABLE
Coromandel International Limited,COROMANDEL,COROMANDEL
Cosmo Films Limited,COSMOFILMS,COSMOFILMS
Country Condo's Limited,COUNCODOS,COUNCODOS
Cox & Kings Limited,COX&KINGS,COX&KINGS
Craftsman Automation Limited,CRAFTSMAN,CRAFTSMAN
Creative Eye Limited,CREATIVEYE,CREATIVEYE
CREDITACCESS GRAMEEN LIMITED,CREDITACC,CREDITACC
Crest Ventures Limited,CREST,CREST
CRISIL Limited,CRISIL,CRISIL
Crompton Greaves Consumer Electricals Limited,CROMPTON,CROMPTON
CSB Bank Limited,CSBBANK,CSBBANK
Cambridge Technology Enterprises Limited,CTE,CTE
City Union Bank Limited,CUB,CUB
Cubex Tubings Limited,CUBEXTUB,CUBEXTUB
Cummins India Limited,CUMMINSIND,CUMMINSIND
Cupid Limited,CUPID,CUPID
Cyber Media (India) Limited,CYBERMEDIA,CYBERMEDIA
Cybertech Systems And Software Limited,CYBERTECH,CYBERTECH
Cyient Limited,CYIENT,CYIENT
LT Foods Limited,DAAWAT,DAAWAT
Dabur India Limited,DABUR,DABUR
DSJ Communications Limited,DALALSTCOM,DALALSTCOM
Dalmia Bharat Limited,DALBHARAT,DALBHARAT
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,DALMIASUG
Damodar Industries Limited,DAMODARIND,DAMOINDUS
Datamatics Global Services Limited,DATAMATICS,DATAMATICS
D.B.Corp Limited,DBCORP,DBCORP
Dilip Buildcon Limited,DBL,DBL
D B Realty Limited,DBREALTY,DBREALTY
DB (International) Stock Brokers Limited,DBSTOCKBRO,DBSTOCKBRO
Dishman Carbogen Amcis Limited,DCAL,DCAL
DCB Bank Limited,DCBBANK,DCBBANK
DCM  Limited,DCM,DCM
DCM Financial Services Limited,DCMFINSERV,DCMFINSERV
DCM Nouvelle Limited,DCMNVL,DCMNVL
DCM Shriram Limited,DCMSHRIRAM,DCMSHRIRAM
DCW Limited,DCW,DCW
Deccan Cements Limited,DECCANCE,DECCANCE
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,DEEPAKFERT
Deepak Nitrite Limited,DEEPAKNTR,DEEPAKNI
DEEP ENERGY RESOURCES LIMITED,DEEPENR,DEEPENR
Deep Industries Limited,DEEPINDS,DEEPIND
Delta Corp Limited,DELTACORP,DELTACORP
Delta Manufacturing Limited,DELTAMAGNT,DELTAMAGNT
Den Networks Limited,DEN,DEN
De Nora India Limited,DENORA,DENORA
DFM Foods Limited,DFMFOODS,DFM
Digicontent Limited,DGCONTENT,DGCONTENT
Dhampur Sugar Mills Limited,DHAMPURSUG,DHAMPURSUG
Dhanlaxmi Bank Limited,DHANBANK,DHANBANK
Dhani Services Limited,DHANI,DHANI
Dhanuka Agritech Limited,DHANUKA,DHANUKA
Dharani Sugars & Chemicals Limited,DHARSUGAR,DHARSUGAR
Dewan Housing Finance Corporation Limited,DHFL,DHFL
Dhunseri Investments Limited,DHUNINV,DHUNINV
Prataap Snacks Limited,DIAMONDYD,DIAMONDYD
DIC India Limited,DICIND,DICIND
DiGiSPICE Technologies Limited,DIGISPICE,DIGISPICE
Dish TV India Limited,DISHTV,DISHTV
Divi's Laboratories Limited,DIVISLAB,DIVISLAB
Dixon Technologies (India) Limited,DIXON,DIXON
DLF Limited,DLF,DLF
D-Link (India) Limited,DLINKINDIA,DLINKINDIA
Avenue Supermarts Limited,DMART,DMART
Diligent Media Corporation Limited,DNAMEDIA,DNAMEDIA
Dolat Investments Limited,DOLAT,DOLAT
Dollar Industries Limited,DOLLAR,DOLLAR
Donear Industries Limited,DONEAR,DONEAR
DRC Systems India Limited,DRCSYSTEMS,DRCSYSTEMS
Dredging Corporation of India Limited,DREDGECORP,DREDGECORP
Dr. Reddy's Laboratories Limited,DRREDDY,DRREDDY
Dynacons Systems & Solutions Limited,DSSL,DSSL
Dhunseri Tea & Industries Limited,DTIL,DHUNTEAIND
Ducon Infratechnologies Limited,DUCON,DUCON
Dhunseri Ventures Limited,DVL,DVL
Dwarikesh Sugar Industries Limited,DWARKESH,DWARKESH
Dynamatic Technologies Limited,DYNAMATECH,DYNAMATECH
Dynemic Products Limited,DYNPRO,DYNPRO
Easy Trip Planners Limited,EASEMYTRIP,EASEMYTRIP
Eastern Silk Industries Limited,EASTSILK,EASTSILK
Easun Reyrolle Limited,EASUNREYRL,EASUNREYRL
EBIXCASH WORLD MONEY INDIA LIMITED,EBIXFOREX,EBIXFOREX
eClerx Services Limited,ECLERX,ECLERX
Edelweiss Financial Services Limited,EDELWEISS,EDELWEISS
Educomp Solutions Limited,EDUCOMP,EDUCOMP
Eicher Motors Limited,EICHERMOT,EICHERMOT
EID Parry India Limited,EIDPARRY,EIDPARRY
EIH Associated Hotels Limited,EIHAHOTELS,EIHAHOTELS
EIH Limited,EIHOTEL,EIHOTEL
Eimco Elecon (India) Limited,EIMCOELECO,EIMCOELECO
Everest Kanto Cylinder Limited,EKC,EKC
Elecon Engineering Company Limited,ELECON,ELECON
Electrosteel Castings Limited,ELECTCAST,ELECTCAST
Electrotherm (India) Limited,ELECTHERM,ELECTHERM
Elgi Equipments Limited,ELGIEQUIP,ELGIEQUIP
Emami Limited,EMAMILTD,EMAMILTD
Emami Paper Mills Limited,EMAMIPAP,EMAMIPAP
Emami Realty Limited,EMAMIREAL,EMAMIREAL
Emco Limited,EMCO,EMCO
Emkay Global Financial Services Limited,EMKAY,EMKAY
Emmbi Industries Limited,EMMBI,EMMBI
Endurance Technologies Limited,ENDURANCE,ENDURANCE
Energy Development Company Limited,ENERGYDEV,ENERGYDEV
Engineers India Limited,ENGINERSIN,ENGINERSIN
Entertainment Network (India) Limited,ENIL,ENIL
EPL Limited,EPL,EPL
Equitas Holdings Limited,EQUITAS,EQUITAS
Equitas Small Finance Bank Limited,EQUITASBNK,EQUITASBNK
Eris Lifesciences Limited,ERIS,ERIS
Eros International Media Limited,EROSMEDIA,EROSMEDIA
Esab India Limited,ESABINDIA,ESABINDIA
Escorts Limited,ESCORTS,ESCORTS
Essar Shipping Limited,ESSARSHPNG,ESSARSHPNG
Ester Industries Limited,ESTER,ESTER
Eurotex Industries and Exports Limited,EUROTEXIND,EUROTEXIND
Eveready Industries India Limited,EVEREADY,EVEREADY
Everest Industries Limited,EVERESTIND,EVERESTIND
Excel Realty N Infra Limited,EXCEL,EXCEL
Excel Industries Limited,EXCELINDUS,EXCELINDUS
Exide Industries Limited,EXIDEIND,EXIDEIND
Expleo Solutions Limited,EXPLEOSOL,EXPLEOSOL
Fertilizers and Chemicals Travancore Limited,FACT,FACT
Fairchem Organics Limited,FAIRCHEMOR,FAIRCHEMOR
Fineotex Chemical Limited,FCL,FCL
Future Consumer Limited,FCONSUMER,FCONSUMER
FCS Software Solutions Limited,FCSSOFT,FCSSOFT
FDC Limited,FDC,FDC
The Federal Bank  Limited,FEDERALBNK,FEDERALBNK
Future Enterprises Limited,FEL,FEL
Future Enterprises Limited,FELDVR,FELDVR
Fiem Industries Limited,FIEMIND,FIEMIND
Filatex India Limited,FILATEX,FILATEX
Finolex Cables Limited,FINCABLES,FINCABLES
Fine Organic Industries Limited,FINEORG,FINEORG
Finolex Industries Limited,FINPIPE,FINOLEXIND
Flexituff Ventures International Limited,FLEXITUFF,FLEXITUFF
Future Lifestyle Fashions Limited,FLFL,FLFL
Gujarat Fluorochemicals Limited,FLUOROCHEM,FLUOROCHEM
Federal-Mogul Goetze (India) Limited.,FMGOETZE,FMGOETZE
Future Market Networks Limited,FMNL,FMNL
FORCE MOTORS LTD,FORCEMOT,FORCEMOT
Fortis Healthcare Limited,FORTIS,FORTIS
Foseco India Limited,FOSECOIND,FOSECOIND
Future Retail Limited,FRETAIL,FRETAIL
Future Supply Chain Solutions Limited,FSC,FSC
Firstsource Solutions Limited,FSL,FSL
Gabriel India Limited,GABRIEL,GABRIEL
Gujarat Ambuja Exports Limited,GAEL,GAEL
GAIL (India) Limited,GAIL,GAIL
Gyscoal Alloys Limited,GAL,GAL
Galaxy Surfactants Limited,GALAXYSURF,GALAXYSURF
Gallantt Metal Limited,GALLANTT,GALLANTT
Gallantt Ispat Limited,GALLISPAT,GALLISPAT
Gammon Infrastructure Projects Limited,GAMMNINFRA,GAMMNINFRA
Gandhi Special Tubes Limited,GANDHITUBE,GANDHITUBE
Ganesha Ecosphere Limited,GANECOS,GANECOS
Ganesh Housing Corporation Limited,GANESHHOUC,GANESHHOUC
Ganges Securities Limited,GANGESSECU,GANGESSEC
Garware Technical Fibres Limited,GARFIBRES,GARFIBRES
GATI Limited,GATI,GATI
Gayatri Highways Limited,GAYAHWS,GAYAHWS
Gayatri Projects Limited,GAYAPROJ,GAYAPROJ
Gateway Distriparks Limited,GDL,GDL
GeeCee Ventures Limited,GEECEE,GEECEE
Generic Engineering Construction and Projects Limited,GENCON,GENCON
Genesys International Corporation Limited,GENESYS,GENESYS
Genus Paper & Boards Limited,GENUSPAPER,GENUSPAPER
Genus Power Infrastructures Limited,GENUSPOWER,GENUSPOWER
Geojit Financial Services Limited,GEOJITFSL,GEOJITFSL
GE Power India Limited,GEPIL,GEPIL
The Great Eastern Shipping Company Limited,GESHIP,GESHIP
GE T&D India Limited,GET&D,GET&D
GFL Limited,GFLLIMITED,GFLLIMITED
Grand Foundry Limited,GFSTEELS,GRANDFONRY
GHCL Limited,GHCL,GHCL
GIC Housing Finance Limited,GICHSGFIN,GICHSGFIN
General Insurance Corporation of India,GICRE,GICRE
Gillanders Arbuthnot & Company Limited,GILLANDERS,GILLANDERS
Gillette India Limited,GILLETTE,GILLETTE
Ginni Filaments Limited,GINNIFILA,GINNIFILA
Gujarat Industries Power Company Limited,GIPCL,GIPCL
GI Engineering Solutions Limited,GISOLUTION,GISOLUTION
Gland Pharma Limited,GLAND,GLAND
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,GLAXO
Glenmark Pharmaceuticals Limited,GLENMARK,GLENMARK
Gujarat Lease Financing Limited,GLFL,GLFL
Global Vectra Helicorp Limited,GLOBALVECT,GLOBALVECT
Globus Spirits Limited,GLOBUSSPR,GLOBUSSPR
GM Breweries Limited,GMBREW,GMBREW
Gujarat Mineral Development Corporation Limited,GMDCLTD,GMDCLTD
GMM Pfaudler Limited,GMMPFAUDLR,GMM
GMR Infrastructure Limited,GMRINFRA,GMRINFRA
GNA Axles Limited,GNA,GNA
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,GNFC
Goa Carbon Limited,GOACARBON,GOACARBON
GOCL Corporation Limited,GOCLCORP,GOCLCORP
Godfrey Phillips India Limited,GODFRYPHLP,GODFRYPHLP
Godrej Agrovet Limited,GODREJAGRO,GODREJAGRO
Godrej Consumer Products Limited,GODREJCP,GODREJCP
Godrej Industries Limited,GODREJIND,GODREJIND
Godrej Properties Limited,GODREJPROP,GODREJPROP
Goenka Diamond and Jewels Limited,GOENKA,GOENKA
Gokaldas Exports Limited,GOKEX,GOKEX
Gokul Refoils and Solvent Limited,GOKUL,GOKUL
Gokul Agro Resources Limited,GOKULAGRO,GOKULAGRO
Golden Tobacco Limited,GOLDENTOBC,GOLDENTOBC
Goldiam International Limited,GOLDIAM,GOLDIAM
Goldstone Technologies Limited,GOLDTECH,GOLDTECH
Goodluck India Limited,GOODLUCK,GOODLUCK
Goodyear India Limited,GOODYEAR,GOODYEAR
Godawari Power And Ispat limited,GPIL,GPIL
