instrument_token_x,instrument_token_y,tradingsymbol_x,tradingsymbol_y,name
4159745,138190596,INFIBEAM,INFIBEAM,INFIBEAM AVENUES
1517057,137941764,INTELLECT,INTELLECT,INTELLECT DESIGN ARENA
2393089,136291332,IOB,IOB,INDIAN OVERSEAS BANK
1276417,138740740,IRCON,IRCON,IRCON INTERNATIONAL
4574465,136485892,JSWENERGY,JSWENERGY,JSW ENERGY
3041281,136356356,JSWHL,JSWHL,JSW HOLDINGS
828673,133134596,JTEKTINDIA,JTEKTINDIA,JTEKT INDIA
4632577,136487684,JUBLFOOD,JUBLFOOD,JUBILANT FOODWORKS
931073,135684868,JUBLPHARMA,JUBLPHARMA,JUBILANT PHARMOVA
3085313,136022276,JUMPNET,JUMPNET,JUMP NETWORKS
3877377,136429060,JYOTHYLAB,JYOTHYLAB,JYOTHY LABS
3407361,132497668,KEI,KEI,KEI INDUSTRIES.
4870401,128062212,KIRLOSIND,KIRLOSIND,KIRLOSKAR INDUSTRIES
2478849,138918660,KPITTECH,KPITTECH,KPIT TECHNOLOGIES
498945,128063748,KSB,KSB,KSB
1640193,151059204,LAMBODHARA,LAMBODHARA,LAMBODHARA TEXTILES.
416513,134004996,LINDEINDIA,LINDEINDIA,LINDE INDIA
2939649,128130564,LT,LT,LARSEN & TOUBRO.
3499777,136063236,MADHUCON,MADHUCON,MADHUCON PROJECTS.
2912513,136326404,MAHABANK,MAHABANK,BANK OF MAHARASHTRA
2639361,138057988,MAJESCO,MJCO,MAJESCO
3890945,136430596,MANAKSIA,MANAKSIA,MANAKSIA.
4879617,135990532,MANAPPURAM,MANAPPURAM,MANAPPURAM FINANCE
2815745,136320004,MARUTI,MARUTI,MARUTI SUZUKI INDIA.
4615425,136486916,MBLINFRA,MBLINFRA,MBL INFRASTRUCTURES
3753473,136410116,MCDHOLDING,MCDHOLDING,MCDOWELL HOLDINGS.
3057409,136359428,MCLEODRUSS,MCLEODRUSS,MCLEOD RUSSEL INDIA.
3623425,136329988,MINDAIND,MINDAIND,MINDA INDUSTRIES.
1718529,136468484,MOLDTKPAC,MOLDTKPAC,MOLD-TEK PACKAGING
3763713,133403908,NAGREEKEXP,NAGREEKEXP,NAGREEKA EXPORTS.
3696641,128075780,NAHARSPING,NAHARSPING,NAHAR SPINNING MILLS.
1003009,134352900,NATCOPHARM,NATCOPHARM,NATCO PHARMA.
610561,130301188,NAVNETEDUL,NAVNETEDUL,NAVNEET EDUCATION
593665,128075268,NCC,NCC,NCC
3053313,136358148,NECLIFE,NECLIFE,NECTAR LIFESCIENCES.
3944705,129370884,NESCO,NESCO,NESCO.
1897217,138811140,NILASPACES,NILASPACES,NILA SPACES
3924993,134750980,NMDC,NMDC,NMDC.
3724033,128048388,NXTDIGITAL,NXTDIGITAL,NXTDIGITAL
2756609,128019972,OAL,OAL,ORIENTAL AROMATICS
2723073,136304388,OLECTRA,OLECTRA,OLECTRA GREENTECH
6203137,135959556,OMINFRAL,OMINFRAL,OM INFRA
5496065,135714564,OPTIEMUS,OPTIEMUS,OPTIEMUS INFRACOM
3655169,135773444,ORIENTBELL,ORIENTBELL,ORIENT BELL
762625,138057476,ORTINLAB,ORTINLAABS,ORTIN LABORATORIES
6519809,136422404,PAISALO,PAISALO,PAISALO DIGITAL
4367873,136325380,PALREDTEC,PALRED,PALRED TECHNOLOGIES
2994945,135966724,PATELENG,PATELENG,PATEL ENGINEERING.
3725313,128793604,PHOENIXLTD,PHOENIXLTD,THE PHOENIX MILLS
3618305,131460868,PITTIENG,PITTIENG,PITTI ENGINEERING
2730497,136310020,PNB,PNB,PUNJAB NATIONAL BANK
2987777,130323716,PRESSMN,PRESSMN,PRESSMAN ADVERTISING
908033,151054596,PROINDIA,PROSEED,PROSEED INDIA
701185,128086532,PRSMJOHNSN,PRSMJOHNSN,PRISM JOHNSON
5376257,136523524,PSB,PSB,PUNJAB & SIND BANK
3926273,128086788,RAIN,RAIN,RAIN INDUSTRIES
523009,128066564,RAMCOCEM,RAMCOCEM,THE RAMCO CEMENTS
2009857,136286724,RAMCOSYS,RAMCOSYS,RAMCO SYSTEMS.
726273,129917444,RANASUG,RANASUG,RANA SUGARS.
3930881,136436484,RECLTD,RECLTD,REC
3649281,136398084,REDINGTON,REDINGTON,REDINGTON (INDIA).
3873025,136428292,RGL,RGL,RENAISSANCE GLOBAL
4968961,139062532,ROSSARI,ROSSARI,ROSSARI BIOTECH
3906305,136432388,RPOWER,RPOWER,RELIANCE POWER.
2078465,138837252,RPSGVENT,RPSGVENT,RPSG VENTURES
4441857,151054340,SALONA,SALONACOT,SALONA COTSPIN.
369153,128172548,SANOFI,SANOFI,SANOFI INDIA
2827521,138035460,SATIA,SATIA,SATIA INDUSTRIES
779521,128028676,SBIN,SBIN,STATE BANK OF INDIA
3659777,131207428,SEQUENT,SEQUENT,SEQUENT SCIENTIFIC.
3918849,136433924,SHRIRAMEPC,SHRIRAMEPC,SHRIRAM EPC.
1157633,131105540,SIGIND,SIGNETIND,SIGNET INDUSTRIES
5504257,138412292,SIS,SIS,SIS
4834049,136500740,SJVN,SJVN,SJVN
2413569,137871876,SKIPPER,SKIPPER,SKIPPER
867073,129329156,SMLISUZU,SMLISUZU,SML ISUZU
3668225,136400644,SMSPHARMA,SMSPHARMA,SMS PHARMACEUTICALS.
3539457,136392708,SOBHA,SOBHA,SOBHA
3028225,131395076,SSWL,SSWL,STEEL STRIPS WHEELS.
5499905,136528900,STEL,STEL,STEL HOLDINGS
539393,139074564,STOVEKRAFT,STOVEKRAFT,STOVE KRAFT
4593921,139024388,SUVENPHAR,SUVENPHAR,SUVEN PHARMACEUTICALS
6192641,132450564,SYMPHONY,SYMPHONY,SYMPHONY
3577857,136394244,TANLA,TANLA,TANLA PLATFORMS
404737,139071748,TARC,TARC,TARC
114433,128014084,TATASTLBSL,TATASTLBSL,TATA STEEL BSL
4638209,136488452,THANGAMAYL,THANGAMAYL,THANGAMAYIL JEWELLERY
3708161,135730948,THEMISMED,THEMISMED,THEMIS MEDICARE.
3764993,136411140,TIMETECHNO,TIMETECHNO,TIME TECHNOPLAST.
3634689,133660932,TIMKEN,TIMKEN,TIMKEN INDIA.
897537,128029188,TITAN,TITAN,TITAN COMPANY
3945985,136439300,TWL,TWL,TITAGARH WAGONS.
2873089,136321284,UCOBANK,UCOBANK,UCO BANK
6537217,136612868,UJAAS,UJAAS,UJAAS ENERGY
2752769,136314116,UNIONBANK,UNIONBANK,UNION BANK OF INDIA
2889473,131089924,UPL,UPL,UPL
2263041,132389380,USHAMART,USHAMART,USHA MARTIN.
3424257,136378628,UTTAMSUGAR,UTTAMSUGAR,UTTAM SUGAR MILLS.
2909185,136231940,VAIBHAVGBL,VAIBHAVGBL,VAIBHAV GLOBAL
3415553,130926340,VAKRANGEE,VAKRANGEE,VAKRANGEE
933377,131628804,VARDMNPOLY,VARDMNPOLY,VARDHMAN POLYTEX.
4636161,136487940,VASCONEQ,VASCONEQ,VASCON ENGINEERS
784129,128075524,VEDL,VEDL,VEDANTA
2542337,138919684,VIKASLIFE,VIKASLIFE,VIKAS LIFECARE
3013889,137881092,VISHAL,VISHAL,VISHAL FABRICS
3026177,136228868,WELCORP,WELCORP,WELSPUN CORP
3584769,136395268,ZEEMEDIA,ZEEMEDIA,ZEE MEDIA CORPORATION
